ID_Ville;Ville
1;Paris
2;Marseille
3;Lyon
4;Toulouse
5;Nice
6;Nantes
7;Montpellier
8;Strasbourg
9;Bordeaux
10;Lille
11;Rennes
12;Reims
13;Toulon
14;Saint-Étienne
15;Le Havre
16;Grenoble
17;Dijon
18;Angers
19;Villeurbanne
20;Saint-Denis
21;Nîmes
22;Clermont-Ferrand
23;Le Mans
24;Aix-en-Provence
25;Brest
26;Tours
27;Amiens
28;Limoges
29;Annecy
30;Boulogne-Billancourt
31;Perpignan
32;Besançon
33;Metz
34;Orléans
35;Saint-Denis
36;Rouen
37;Argenteuil
38;Montreuil
39;Mulhouse
40;Caen
41;Nancy
42;Saint-Paul
43;Roubaix
44;Tourcoing
45;Nanterre
46;Vitry-sur-Seine
47;Nouméa
48;Créteil
49;Avignon
50;Poitiers
51;Aubervilliers
52;Dunkerque
53;Aulnay-sous-Bois
54;Colombes
55;Asnières-sur-Seine
56;Versailles
57;Saint-Pierre
58;Courbevoie
59;Le Tampon
60;Cherbourg-en-Cotentin
61;Fort-de-France
62;Rueil-Malmaison
63;Béziers
64;Champigny-sur-Marne
65;Pau
66;La Rochelle
67;Saint-Maur-des-Fossés
68;Cannes
69;Calais
70;Antibes
71;Drancy
72;Mamoudzou
73;Ajaccio
74;Mérignac
75;Saint-Nazaire
76;Colmar
77;Issy-les-Moulineaux
78;Noisy-le-Grand
79;Évry-CourcouronnesNote 4
80;Vénissieux
81;Cergy
82;Levallois-Perret
83;Valence
84;Bourges
85;Pessac
86;Cayenne
87;Ivry-sur-Seine
88;Quimper
89;La Seyne-sur-Mer
90;Antony
91;Villeneuve-d'Ascq
92;Clichy
93;Troyes
94;Montauban
95;Neuilly-sur-Seine
96;Pantin
97;Niort
98;Chambéry
99;Sarcelles
100;Le Blanc-Mesnil
101;Lorient
102;Saint-André
103;Beauvais
104;Maisons-Alfort
105;Meaux
106;Narbonne
107;Chelles
108;Hyères
109;Villejuif
110;Épinay-sur-Seine
111;La Roche-sur-Yon
112;Bobigny
113;Cholet
114;Bondy
115;Saint-Quentin
116;Fréjus
117;Saint-Louis
118;Vannes
119;Les Abymes
120;Clamart
121;Sartrouville
122;Fontenay-sous-Bois
123;Cagnes-sur-Mer
124;Bayonne
125;Sevran
126;Arles
127;Corbeil-Essonnes
128;Vaulx-en-Velin
129;Saint-Ouen-sur-Seine
130;Massy
131;Vincennes
132;Laval
133;Albi
134;Grasse
135;Suresnes
136;Montrouge
137;Martigues
138;Bastia
139;Gennevilliers
140;Aubagne
141;Belfort
142;Évreux
143;Brive-la-Gaillarde
144;Carcassonne
145;Saint-Priest
146;Saint-Malo
147;Charleville-Mézières
148;Saint-Herblain
149;Choisy-le-Roi
150;Rosny-sous-Bois
151;Blois
152;Meudon
153;Saint-Laurent-du-Maroni
154;Salon-de-Provence
155;Livry-Gargan
156;Puteaux
157;Chalon-sur-Saône
158;Saint-Germain-en-Laye
159;Les Sables-d'Olonne
160;Alfortville
161;Châlons-en-Champagne
162;Mantes-la-Jolie
163;Noisy-le-Sec
164;Saint-Brieuc
165;La Courneuve
166;Sète
167;Châteauroux
168;Istres
169;Valenciennes
170;Garges-lès-Gonesse
171;Caluire-et-Cuire
172;Talence
173;Tarbes
174;Rezé
175;Bron
176;Castres
177;Angoulême
178;Arras
179;Le Cannet
180;Bourg-en-Bresse
181;Wattrelos
182;Bagneux
183;Alès
184;Boulogne-sur-Mer
185;Le Lamentin
186;Gap
187;Compiègne
188;Thionville
189;Melun
190;Douai
191;Gagny
192;Anglet
193;Montélimar
194;Draguignan
195;Colomiers
196;Stains
197;Marcq-en-Barœul
198;Chartres
199;Saint-Martin-d'Hères
200;Poissy
201;Joué-lès-Tours
202;Pontault-Combault
203;Saint-Joseph
204;Villepinte
205;Saint-Benoît
206;Châtillon
207;Franconville
208;Échirolles
209;Savigny-sur-Orge
210;Villefranche-sur-Saône
211;Annemasse
212;Tremblay-en-France
213;Sainte-Geneviève-des-Bois
214;Dumbéa
215;Creil
216;Neuilly-sur-Marne
217;Conflans-Sainte-Honorine
218;Saint-Raphaël
219;Palaiseau
220;Bagnolet
221;La Ciotat
222;Villenave-d'Ornon
223;Thonon-les-Bains
224;Athis-Mons
225;Saint-Chamond
226;Montluçon
227;Haguenau
228;Auxerre
229;Villeneuve-Saint-Georges
230;Saint-Leu
231;Châtenay-Malabry
232;Meyzieu
233;Saint-Martin
234;Roanne
235;Mâcon
236;Le Perreux-sur-Marne
237;Six-Fours-les-Plages
238;Le Port
239;Nevers
240;Sainte-Marie
241;Romans-sur-Isère
242;Vitrolles
243;Schiltigheim
244;Agen
245;Les Mureaux
246;Matoury
247;Nogent-sur-Marne
248;Marignane
249;La Possession
250;Montigny-le-Bretonneux
251;Cambrai
252;Houilles
253;Épinal
254;Koungou
255;Trappes
256;Châtellerault
257;Lens
258;Saint-Médard-en-Jalles
259;Vigneux-sur-Seine
260;Pontoise
261;L'Haÿ-les-Roses
262;Le Chesnay-Rocquencourt
263;Baie-Mahault
264;Plaisir
265;Cachan
266;Pierrefitte-sur-Seine
267;Malakoff
268;Viry-Châtillon
269;Dreux
270;Goussainville
271;Bezons
272;Liévin
273;Rillieux-la-Pape
274;Chatou
275;Menton
276;Herblay-sur-Seine
277;Périgueux
278;Charenton-le-Pont
279;Saint-Cloud
280;Vandœuvre-lès-Nancy
281;Villemomble
